SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,-90,x,x,x,-92,-92,-92,-92,-92,-92,-93,-93,-93,-93,-93,-91,-90,-90,-90,-90
Visitantes,f4:4e:05:16:b5:9d,-71,-71,-71,-72,-70,-72,-72,-73,-73,-73,-71,-71,-72,-72,-71,-74,-71,-72,-74,-73
Visitantes,f4:4e:05:16:b5:92,-67,-66,-69,-67,-69,-71,-69,-68,-68,-70,-68,-68,-69,-67,-70,-67,-70,-68,-68,-67
Visitantes,f4:4e:05:1d:4c:92,-79,-81,-86,-86,-79,-84,-84,-87,-87,-86,-89,-89,-89,-89,-89,x,-86,-86,-86,-88
Visitantes,f4:4e:05:1d:4c:9d,-84,x,-87,-87,-87,-87,-87,x,x,x,x,x,x,x,-87,-86,-86,-86,-87,-87
UNMSM,f4:4e:05:16:b5:9f,-71,-71,-71,-71,-70,-71,-72,-72,-72,-70,-71,-71,-72,-72,-71,-74,-71,-72,-75,-72
UNMSM,f4:4e:05:16:b5:90,-67,-66,-69,-68,-69,-71,-69,-69,-69,-67,-67,-68,-68,-66,-69,-68,-71,-71,-71,-66
UNMSM,f4:4e:05:1d:4c:90,-78,-83,-87,-87,-79,-87,-86,-86,-86,-85,-85,-86,-86,-86,-86,-86,-86,-86,-86,-83
UNMSM,f4:4e:05:1d:4c:9f,-86,x,-89,-89,-89,-89,-89,-89,-89,x,x,x,x,x,-87,-86,-86,-86,-88,-88
U.INFORMATICA,c4:12:f5:74:b6:90,-77,x,-79,-79,-79,-79,-83,-83,-74,-82,-82,-81,-81,-77,-77,-77,-77,-77,-79,-79
Red Telematica,f4:4e:05:1d:4c:95,-79,-82,-85,-85,-83,-84,-84,-87,-86,-85,-85,-85,-85,-85,-85,x,x,-83,-83,-85
Red Telematica,f4:4e:05:1d:4c:9a,-86,x,-88,-88,-86,-87,-87,-87,-87,x,x,x,x,x,-89,-86,-86,-86,-87,-87
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
