SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,x,x,-90,-90,-90,-90,-90,x,x,x,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-76,-77,-78,-78,-78,-77,-77,-79,-80,-78,-78,-78,-78,-79,-82,-79,-80,-80,-78,-78
Visitantes,f4:4e:05:16:b5:92,-69,-69,-70,-67,-65,-67,-67,-69,-69,-64,-69,-68,-68,-67,-67,-63,-67,-67,-69,-69
Visitantes,f4:4e:05:1d:4c:92,-81,-84,-82,-83,-83,-79,-74,-79,-79,-83,-83,-78,-83,-83,-80,-81,-79,-81,-80,-83
Visitantes,f4:4e:05:1d:4c:9d,x,x,-88,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-76,-76,-78,-78,-78,-78,-77,-79,-79,-78,-77,-77,-77,-78,-81,-79,-81,-81,-78,-78
UNMSM,f4:4e:05:16:b5:90,-70,-68,-69,-67,-65,-67,-67,-67,-65,-66,-68,-68,-68,-67,-67,-64,-68,-68,-68,-68
UNMSM,f4:4e:05:1d:4c:90,-82,-83,-82,-86,-86,-86,-83,-83,-83,-83,-83,-78,-86,-86,-81,-81,-80,-79,-83,-83
UNMSM,f4:4e:05:1d:4c:9f,x,x,-88,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,-80,x,x,-80,-80,-80,-80,x,x,x,-81,-77,-77,-77,-77,-77,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,-80,-84,-82,-84,-82,-82,-83,-82,-82,-82,-82,-78,-86,-78,-81,-78,-81,-79,-83,-79
Red Telematica,f4:4e:05:1d:4c:9a,x,x,-88,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x,x,x,x,x
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,-89,-89,-89,-89,-89,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,-85,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
