SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,-88,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-81,-76,-75,-77,-73,-76,-74,-77,-73,-75,-74,-77,-77,-77,-74,-75,-79,-79,-78,-77
Visitantes,f4:4e:05:16:b5:92,-64,-69,-65,-68,-63,-71,-65,-65,-64,-70,-64,-70,-71,-69,-69,-64,-64,-64,-75,-75
Visitantes,f4:4e:05:1d:4c:92,-88,-88,x,-75,-81,-75,-81,-74,-81,-81,-81,-82,-89,-89,-87,-78,-78,-82,-89,-85
Visitantes,f4:4e:05:1d:4c:9d,x,-87,-87,-88,-88,-90,-90,-90,-90,-90,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-79,-76,-74,-77,-73,-76,-74,-76,-73,-76,-74,-77,-77,-78,-73,-76,-77,-79,-77,-78
UNMSM,f4:4e:05:16:b5:90,-64,-70,-70,-68,-63,-70,-70,-71,-64,-70,-63,-70,-70,-69,-69,-64,-69,-69,-69,-67
UNMSM,f4:4e:05:1d:4c:90,-84,-75,-80,-74,-81,-75,-81,-75,-82,-82,-80,-80,-80,-80,-89,-79,-79,-82,-89,-83
UNMSM,f4:4e:05:1d:4c:9f,x,-88,-88,-88,-88,-88,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,-74,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,x,x,x,-77
Red Telematica,f4:4e:05:1d:4c:95,-86,-76,-76,-76,-82,-76,-81,-75,-79,-79,-80,-82,-82,-82,-86,-79,-87,-82,-90,-84
Red Telematica,f4:4e:05:1d:4c:9a,x,-89,-89,-89,-89,-89,x,-89,-89,-89,-89,-89,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,-83,-83,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
