SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,-86,-81,-70,-81,-86,-86,-86,-86,-86,-86,-79,-79,-79,-80,-80,-80,-81,-81,-81,-85
Visitantes,f4:4e:05:16:b5:9d,-72,-72,-76,-75,-72,-74,-76,-76,-75,-69,-72,-72,-73,-73,-77,-69,-76,-73,-73,-72
Visitantes,f4:4e:05:16:b5:92,-75,-75,-75,-75,-75,-75,-70,-70,-70,-70,-70,-70,x,x,-75,-66,-66,-74,-74,-74
Visitantes,f4:4e:05:1d:4c:92,-84,-84,-81,-81,-81,-81,-81,-81,x,x,x,x,x,-79,-79,-79,-79,-79,x,x
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,-89,-87,-89,-89,-89,-89,-89,-89,-89,-89,-88,-88,-90
UNMSM,f4:4e:05:16:b5:9f,-72,-72,-75,-75,-73,-75,-75,-75,-76,-69,-71,-71,-73,-73,-78,-68,-75,-72,-72,-72
UNMSM,f4:4e:05:16:b5:90,-73,-73,-69,-68,-68,-68,-68,-76,-76,-68,-75,-75,-75,-75,-75,-65,-65,-75,-75,-75
UNMSM,f4:4e:05:1d:4c:90,-85,-85,-85,-85,-85,x,x,x,x,x,x,x,x,x,x,-81,-81,-81,-81,-81
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,-87,-89,-89,-89,-89,-88,-88,-88,-88,-86,-86,-88
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,x,x,x,x,x,-72,-72,-72,-72,-72,x,x,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,-83,-83,-80,-80,-80,-80,-80,-80,x,x,-76,-76,-76,-76,-76,x,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,-89,-89,-88,-88,-88,-88,-89,-89,-89,-89,-87,-87,-87
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,-78,-78,-78,-78,-78,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,-87,-87,-87,-87,-87,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
